rfm_segment,count,avg_monetary,avg_frequency,avg_recency
Champions,1655,11646.408308157099,12.177039274924471,15.665861027190333
At Risk,1107,10223.83243902439,10.666666666666666,88.42637759710931
Loyal Customers,2225,7871.278224719102,9.426516853932585,22.748314606741573
Cannot Lose Them,850,6939.332858823529,8.196470588235295,102.15294117647059
Potential Loyalists,384,5165.70703125,7.4921875,13.90625
Need Attention,398,4925.157286432161,8.746231155778894,38.96733668341709
Promising,1279,4357.218999218139,5.9366692728694295,30.07584050039093
Lost,1977,4002.624031360647,5.722306525037936,141.4951947395043
New Customers,123,2422.4977235772353,4.715447154471545,6.0894308943089435
